[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 39050: Total Loss of tensor([[14.0265]], grad_fn=<SubBackward0>)
[2022-11-06 11:06:06.800711] Process 2. Episode 37450, average_reward -0.074179
Episode 37450: Total Loss of tensor([[13.5518]], grad_fn=<SubBackward0>)
Training process 4 terminated
[2022-11-06 11:06:28.838611] Process 0. Episode 36550, average_reward -0.069932
Episode 36550: Total Loss of tensor([[10.3291]], grad_fn=<SubBackward0>)
[2022-11-06 11:06:30.297782] Process 5. Episode 37100, average_reward -0.069704
Episode 37100: Total Loss of tensor([[5.9574]], grad_fn=<SubBackward0>)
[2022-11-06 11:07:32.750843] Process 3. Episode 36750, average_reward -0.071728
Episode 36750: Total Loss of tensor([[11.2616]], grad_fn=<SubBackward0>)
[2022-11-06 11:07:51.657049] Process 1. Episode 35950, average_reward -0.068790
Episode 35950: Total Loss of tensor([[10.4409]], grad_fn=<SubBackward0>)
[2022-11-06 11:08:22.415690] Process 2. Episode 37500, average_reward -0.074187
Episode 37500: Total Loss of tensor([[5.6789]], grad_fn=<SubBackward0>)
[2022-11-06 11:08:44.997981] Process 0. Episode 36600, average_reward -0.069973
Episode 36600: Total Loss of tensor([[3.8830]], grad_fn=<SubBackward0>)
[2022-11-06 11:08:47.207112] Process 5. Episode 37150, average_reward -0.069664
Episode 37150: Total Loss of tensor([[16.7425]], grad_fn=<SubBackward0>)
[2022-11-06 11:09:53.147457] Process 3. Episode 36800, average_reward -0.071739
Episode 36800: Total Loss of tensor([[10.1594]], grad_fn=<SubBackward0>)
[2022-11-06 11:10:02.522074] Process 1. Episode 36000, average_reward -0.068806
Episode 36000: Total Loss of tensor([[8.2784]], grad_fn=<SubBackward0>)
[2022-11-06 11:10:44.048300] Process 2. Episode 37550, average_reward -0.074194
Episode 37550: Total Loss of tensor([[15.5642]], grad_fn=<SubBackward0>)
[2022-11-06 11:10:54.767912] Process 5. Episode 37200, average_reward -0.069677
Episode 37200: Total Loss of tensor([[4.0450]], grad_fn=<SubBackward0>)
[2022-11-06 11:11:11.769313] Process 0. Episode 36650, average_reward -0.069905
Episode 36650: Total Loss of tensor([[-2.7012]], grad_fn=<SubBackward0>)
[2022-11-06 11:12:13.330770] Process 3. Episode 36850, average_reward -0.071669
Episode 36850: Total Loss of tensor([[13.5769]], grad_fn=<SubBackward0>)
[2022-11-06 11:12:23.867181] Process 1. Episode 36050, average_reward -0.068738
Episode 36050: Total Loss of tensor([[2.2316]], grad_fn=<SubBackward0>)
[2022-11-06 11:13:07.806833] Process 2. Episode 37600, average_reward -0.074202
Episode 37600: Total Loss of tensor([[-33.8006]], grad_fn=<SubBackward0>)
[2022-11-06 11:13:09.444744] Process 5. Episode 37250, average_reward -0.069638
Episode 37250: Total Loss of tensor([[11.9606]], grad_fn=<SubBackward0>)
[2022-11-06 11:13:38.145023] Process 0. Episode 36700, average_reward -0.069891
Episode 36700: Total Loss of tensor([[11.3650]], grad_fn=<SubBackward0>)
[2022-11-06 11:14:27.985523] Process 3. Episode 36900, average_reward -0.071653
Episode 36900: Total Loss of tensor([[13.6155]], grad_fn=<SubBackward0>)
[2022-11-06 11:14:44.010722] Process 1. Episode 36100, average_reward -0.068809
Episode 36100: Total Loss of tensor([[0.9701]], grad_fn=<SubBackward0>)
[2022-11-06 11:15:18.547255] Process 5. Episode 37300, average_reward -0.069625
Episode 37300: Total Loss of tensor([[-113.4071]], grad_fn=<SubBackward0>)
[2022-11-06 11:15:30.916015] Process 2. Episode 37650, average_reward -0.074157
Episode 37650: Total Loss of tensor([[6.8275]], grad_fn=<SubBackward0>)
[2022-11-06 11:15:56.214302] Process 0. Episode 36750, average_reward -0.069878
Episode 36750: Total Loss of tensor([[14.1424]], grad_fn=<SubBackward0>)
[2022-11-06 11:16:48.500971] Process 3. Episode 36950, average_reward -0.071691
Episode 36950: Total Loss of tensor([[16.7025]], grad_fn=<SubBackward0>)
[2022-11-06 11:17:04.573014] Process 1. Episode 36150, average_reward -0.068797
Episode 36150: Total Loss of tensor([[-98.7117]], grad_fn=<SubBackward0>)
[2022-11-06 11:17:31.535490] Process 5. Episode 37350, average_reward -0.069639
Episode 37350: Total Loss of tensor([[13.9849]], grad_fn=<SubBackward0>)
[2022-11-06 11:17:45.162426] Process 2. Episode 37700, average_reward -0.074111
Episode 37700: Total Loss of tensor([[10.1407]], grad_fn=<SubBackward0>)
[2022-11-06 11:18:16.254369] Process 0. Episode 36800, average_reward -0.069837
Episode 36800: Total Loss of tensor([[2.3617]], grad_fn=<SubBackward0>)
[2022-11-06 11:19:03.054066] Process 3. Episode 37000, average_reward -0.071730
Episode 37000: Total Loss of tensor([[-3.5833]], grad_fn=<SubBackward0>)
[2022-11-06 11:19:30.371375] Process 1. Episode 36200, average_reward -0.068757
Episode 36200: Total Loss of tensor([[15.4903]], grad_fn=<SubBackward0>)
[2022-11-06 11:19:51.252742] Process 5. Episode 37400, average_reward -0.069652
Episode 37400: Total Loss of tensor([[1.7700]], grad_fn=<SubBackward0>)
[2022-11-06 11:19:58.124709] Process 2. Episode 37750, average_reward -0.074119
Episode 37750: Total Loss of tensor([[8.3186]], grad_fn=<SubBackward0>)
[2022-11-06 11:20:33.164579] Process 0. Episode 36850, average_reward -0.069796
Episode 36850: Total Loss of tensor([[-2.9153]], grad_fn=<SubBackward0>)
[2022-11-06 11:21:28.573293] Process 3. Episode 37050, average_reward -0.071714
Episode 37050: Total Loss of tensor([[5.2603]], grad_fn=<SubBackward0>)
[2022-11-06 11:21:46.720055] Process 1. Episode 36250, average_reward -0.068745
Episode 36250: Total Loss of tensor([[24.8729]], grad_fn=<SubBackward0>)
[2022-11-06 11:22:02.071967] Process 5. Episode 37450, average_reward -0.069640
Episode 37450: Total Loss of tensor([[6.9984]], grad_fn=<SubBackward0>)
[2022-11-06 11:22:23.161988] Process 2. Episode 37800, average_reward -0.074101
Episode 37800: Total Loss of tensor([[13.0542]], grad_fn=<SubBackward0>)
[2022-11-06 11:22:45.027511] Process 0. Episode 36900, average_reward -0.069783
Episode 36900: Total Loss of tensor([[3.2532]], grad_fn=<SubBackward0>)
[2022-11-06 11:23:46.638474] Process 3. Episode 37100, average_reward -0.071671
Episode 37100: Total Loss of tensor([[8.7630]], grad_fn=<SubBackward0>)
[2022-11-06 11:24:16.817472] Process 1. Episode 36300, average_reward -0.068705
Episode 36300: Total Loss of tensor([[5.2240]], grad_fn=<SubBackward0>)
[2022-11-06 11:24:18.598982] Process 5. Episode 37500, average_reward -0.069680
Episode 37500: Total Loss of tensor([[5.2137]], grad_fn=<SubBackward0>)
[2022-11-06 11:24:40.857343] Process 2. Episode 37850, average_reward -0.074108
Episode 37850: Total Loss of tensor([[1.3522]], grad_fn=<SubBackward0>)
[2022-11-06 11:24:57.296414] Process 0. Episode 36950, average_reward -0.069824
Episode 36950: Total Loss of tensor([[17.1932]], grad_fn=<SubBackward0>)
[2022-11-06 11:26:03.173846] Process 3. Episode 37150, average_reward -0.071682
Episode 37150: Total Loss of tensor([[-117.8149]], grad_fn=<SubBackward0>)
[2022-11-06 11:26:33.891804] Process 5. Episode 37550, average_reward -0.069667
Episode 37550: Total Loss of tensor([[-62.3759]], grad_fn=<SubBackward0>)
[2022-11-06 11:26:38.065176] Process 1. Episode 36350, average_reward -0.068748
Episode 36350: Total Loss of tensor([[3.4045]], grad_fn=<SubBackward0>)
[2022-11-06 11:27:01.942774] Process 2. Episode 37900, average_reward -0.074169
Episode 37900: Total Loss of tensor([[-94.3300]], grad_fn=<SubBackward0>)
[2022-11-06 11:27:09.579717] Process 0. Episode 37000, average_reward -0.069811
Episode 37000: Total Loss of tensor([[6.0254]], grad_fn=<SubBackward0>)
[2022-11-06 11:28:16.851299] Process 3. Episode 37200, average_reward -0.071694
Episode 37200: Total Loss of tensor([[-6.7388]], grad_fn=<SubBackward0>)
[2022-11-06 11:28:47.291659] Process 5. Episode 37600, average_reward -0.069707
Episode 37600: Total Loss of tensor([[0.3872]], grad_fn=<SubBackward0>)
[2022-11-06 11:29:01.758248] Process 1. Episode 36400, average_reward -0.068791
Episode 36400: Total Loss of tensor([[0.2006]], grad_fn=<SubBackward0>)
[2022-11-06 11:29:17.052480] Process 2. Episode 37950, average_reward -0.074097
Episode 37950: Total Loss of tensor([[6.5111]], grad_fn=<SubBackward0>)
[2022-11-06 11:29:28.728866] Process 0. Episode 37050, average_reward -0.069825
Episode 37050: Total Loss of tensor([[2.7632]], grad_fn=<SubBackward0>)
[2022-11-06 11:30:29.084999] Process 3. Episode 37250, average_reward -0.071678
Episode 37250: Total Loss of tensor([[0.7666]], grad_fn=<SubBackward0>)
[2022-11-06 11:31:00.670180] Process 5. Episode 37650, average_reward -0.069721
Episode 37650: Total Loss of tensor([[-1.4510]], grad_fn=<SubBackward0>)
[2022-11-06 11:31:27.668668] Process 1. Episode 36450, average_reward -0.068752
Episode 36450: Total Loss of tensor([[6.1091]], grad_fn=<SubBackward0>)
[2022-11-06 11:31:35.243756] Process 2. Episode 38000, average_reward -0.074026
Episode 38000: Total Loss of tensor([[-2.3787]], grad_fn=<SubBackward0>)
[2022-11-06 11:31:43.023244] Process 0. Episode 37100, average_reward -0.069784
Episode 37100: Total Loss of tensor([[-0.1456]], grad_fn=<SubBackward0>)
[2022-11-06 11:32:45.550390] Process 3. Episode 37300, average_reward -0.071609
Episode 37300: Total Loss of tensor([[8.6029]], grad_fn=<SubBackward0>)
[2022-11-06 11:33:11.681021] Process 5. Episode 37700, average_reward -0.069788
Episode 37700: Total Loss of tensor([[3.9093]], grad_fn=<SubBackward0>)
[2022-11-06 11:33:54.080344] Process 1. Episode 36500, average_reward -0.068795
Episode 36500: Total Loss of tensor([[4.3444]], grad_fn=<SubBackward0>)
[2022-11-06 11:33:54.213150] Process 2. Episode 38050, average_reward -0.074034
Episode 38050: Total Loss of tensor([[-5.0721]], grad_fn=<SubBackward0>)
[2022-11-06 11:34:09.191358] Process 0. Episode 37150, average_reward -0.069798
Episode 37150: Total Loss of tensor([[15.1812]], grad_fn=<SubBackward0>)
[2022-11-06 11:34:58.346804] Process 3. Episode 37350, average_reward -0.071539
Episode 37350: Total Loss of tensor([[3.6529]], grad_fn=<SubBackward0>)
[2022-11-06 11:35:23.191448] Process 5. Episode 37750, average_reward -0.069801
Episode 37750: Total Loss of tensor([[9.6196]], grad_fn=<SubBackward0>)
[2022-11-06 11:36:15.975624] Process 2. Episode 38100, average_reward -0.074094
Episode 38100: Total Loss of tensor([[-37.3666]], grad_fn=<SubBackward0>)
[2022-11-06 11:36:16.169240] Process 1. Episode 36550, average_reward -0.068755
Episode 36550: Total Loss of tensor([[0.3064]], grad_fn=<SubBackward0>)
[2022-11-06 11:36:25.078426] Process 0. Episode 37200, average_reward -0.069785
Episode 37200: Total Loss of tensor([[6.9565]], grad_fn=<SubBackward0>)
[2022-11-06 11:37:14.100424] Process 3. Episode 37400, average_reward -0.071578
Episode 37400: Total Loss of tensor([[-52.2151]], grad_fn=<SubBackward0>)
[2022-11-06 11:37:32.318100] Process 5. Episode 37800, average_reward -0.069788
Episode 37800: Total Loss of tensor([[11.6800]], grad_fn=<SubBackward0>)
[2022-11-06 11:38:29.629645] Process 2. Episode 38150, average_reward -0.073997
Episode 38150: Total Loss of tensor([[3.4578]], grad_fn=<SubBackward0>)
[2022-11-06 11:38:35.731379] Process 1. Episode 36600, average_reward -0.068770
Episode 36600: Total Loss of tensor([[10.3058]], grad_fn=<SubBackward0>)
[2022-11-06 11:38:48.191370] Process 0. Episode 37250, average_reward -0.069879
Episode 37250: Total Loss of tensor([[9.6374]], grad_fn=<SubBackward0>)
[2022-11-06 11:39:27.716720] Process 3. Episode 37450, average_reward -0.071562
Episode 37450: Total Loss of tensor([[5.6555]], grad_fn=<SubBackward0>)
[2022-11-06 11:39:46.246529] Process 5. Episode 37850, average_reward -0.069828
Episode 37850: Total Loss of tensor([[-1.1161]], grad_fn=<SubBackward0>)
[2022-11-06 11:40:40.405809] Process 2. Episode 38200, average_reward -0.073901
Episode 38200: Total Loss of tensor([[11.6503]], grad_fn=<SubBackward0>)
[2022-11-06 11:41:01.346347] Process 1. Episode 36650, average_reward -0.068759
Episode 36650: Total Loss of tensor([[20.0710]], grad_fn=<SubBackward0>)
[2022-11-06 11:41:08.716039] Process 0. Episode 37300, average_reward -0.069893
Episode 37300: Total Loss of tensor([[-1.6282]], grad_fn=<SubBackward0>)
[2022-11-06 11:41:43.607748] Process 3. Episode 37500, average_reward -0.071600
Episode 37500: Total Loss of tensor([[11.3058]], grad_fn=<SubBackward0>)
[2022-11-06 11:41:57.759413] Process 5. Episode 37900, average_reward -0.069868
Episode 37900: Total Loss of tensor([[8.1846]], grad_fn=<SubBackward0>)
[2022-11-06 11:43:03.070787] Process 2. Episode 38250, average_reward -0.073830
Episode 38250: Total Loss of tensor([[10.9280]], grad_fn=<SubBackward0>)
[2022-11-06 11:43:23.347373] Process 1. Episode 36700, average_reward -0.068801
Episode 36700: Total Loss of tensor([[-6.2167]], grad_fn=<SubBackward0>)
[2022-11-06 11:43:33.550667] Process 0. Episode 37350, average_reward -0.069960
Episode 37350: Total Loss of tensor([[20.9724]], grad_fn=<SubBackward0>)
[2022-11-06 11:43:54.886271] Process 3. Episode 37550, average_reward -0.071611
Episode 37550: Total Loss of tensor([[5.7281]], grad_fn=<SubBackward0>)
[2022-11-06 11:44:09.123727] Process 5. Episode 37950, average_reward -0.069855
Episode 37950: Total Loss of tensor([[9.8520]], grad_fn=<SubBackward0>)
[2022-11-06 11:45:25.764132] Process 2. Episode 38300, average_reward -0.073838
Episode 38300: Total Loss of tensor([[12.2344]], grad_fn=<SubBackward0>)
[2022-11-06 11:45:42.972790] Process 1. Episode 36750, average_reward -0.068707
Episode 36750: Total Loss of tensor([[1.9167]], grad_fn=<SubBackward0>)
[2022-11-06 11:45:59.402925] Process 0. Episode 37400, average_reward -0.069973
Episode 37400: Total Loss of tensor([[4.5760]], grad_fn=<SubBackward0>)
[2022-11-06 11:46:05.001920] Process 3. Episode 37600, average_reward -0.071622
Episode 37600: Total Loss of tensor([[6.3602]], grad_fn=<SubBackward0>)
[2022-11-06 11:46:19.791022] Process 5. Episode 38000, average_reward -0.069947
Episode 38000: Total Loss of tensor([[3.8566]], grad_fn=<SubBackward0>)
[2022-11-06 11:47:46.941515] Process 2. Episode 38350, average_reward -0.073872
Episode 38350: Total Loss of tensor([[-17.0123]], grad_fn=<SubBackward0>)
[2022-11-06 11:48:04.822670] Process 1. Episode 36800, average_reward -0.068696
Episode 36800: Total Loss of tensor([[9.0673]], grad_fn=<SubBackward0>)
[2022-11-06 11:48:14.525664] Process 3. Episode 37650, average_reward -0.071660
Episode 37650: Total Loss of tensor([[-4.3094]], grad_fn=<SubBackward0>)
[2022-11-06 11:48:23.783479] Process 0. Episode 37450, average_reward -0.069880
Episode 37450: Total Loss of tensor([[5.8145]], grad_fn=<SubBackward0>)
[2022-11-06 11:48:30.703099] Process 5. Episode 38050, average_reward -0.069987
Episode 38050: Total Loss of tensor([[-7.1577]], grad_fn=<SubBackward0>)
[2022-11-06 11:50:09.605699] Process 2. Episode 38400, average_reward -0.073854
Episode 38400: Total Loss of tensor([[7.6055]], grad_fn=<SubBackward0>)
[2022-11-06 11:50:24.601377] Process 1. Episode 36850, average_reward -0.068711
Episode 36850: Total Loss of tensor([[2.9372]], grad_fn=<SubBackward0>)
[2022-11-06 11:50:28.206948] Process 3. Episode 37700, average_reward -0.071645
Episode 37700: Total Loss of tensor([[3.8066]], grad_fn=<SubBackward0>)
[2022-11-06 11:50:42.645515] Process 5. Episode 38100, average_reward -0.070079
Episode 38100: Total Loss of tensor([[7.2623]], grad_fn=<SubBackward0>)
[2022-11-06 11:50:42.787434] Process 0. Episode 37500, average_reward -0.069867
Episode 37500: Total Loss of tensor([[9.5528]], grad_fn=<SubBackward0>)
[2022-11-06 11:52:35.004253] Process 2. Episode 38450, average_reward -0.073810
Episode 38450: Total Loss of tensor([[1.7107]], grad_fn=<SubBackward0>)
[2022-11-06 11:52:44.211342] Process 1. Episode 36900, average_reward -0.068753
Episode 36900: Total Loss of tensor([[-22.4129]], grad_fn=<SubBackward0>)
[2022-11-06 11:52:49.803665] Process 3. Episode 37750, average_reward -0.071762
Episode 37750: Total Loss of tensor([[-6.3465]], grad_fn=<SubBackward0>)
[2022-11-06 11:52:53.494276] Process 5. Episode 38150, average_reward -0.070118
Episode 38150: Total Loss of tensor([[7.9966]], grad_fn=<SubBackward0>)
[2022-11-06 11:53:04.608775] Process 0. Episode 37550, average_reward -0.069800
Episode 37550: Total Loss of tensor([[15.8267]], grad_fn=<SubBackward0>)
[2022-11-06 11:54:50.975551] Process 2. Episode 38500, average_reward -0.073792
Episode 38500: Total Loss of tensor([[-10.2888]], grad_fn=<SubBackward0>)
[2022-11-06 11:55:03.290131] Process 1. Episode 36950, average_reward -0.068850
Episode 36950: Total Loss of tensor([[25.3037]], grad_fn=<SubBackward0>)
[2022-11-06 11:55:08.209262] Process 5. Episode 38200, average_reward -0.070131
Episode 38200: Total Loss of tensor([[17.1764]], grad_fn=<SubBackward0>)
[2022-11-06 11:55:12.230681] Process 3. Episode 37800, average_reward -0.071720
Episode 37800: Total Loss of tensor([[-2.2687]], grad_fn=<SubBackward0>)
[2022-11-06 11:55:23.686515] Process 0. Episode 37600, average_reward -0.069761
Episode 37600: Total Loss of tensor([[15.4486]], grad_fn=<SubBackward0>)
[2022-11-06 11:57:13.163667] Process 1. Episode 37000, average_reward -0.068892
Episode 37000: Total Loss of tensor([[2.0217]], grad_fn=<SubBackward0>)
[2022-11-06 11:57:14.547928] Process 2. Episode 38550, average_reward -0.073696
Episode 38550: Total Loss of tensor([[16.4201]], grad_fn=<SubBackward0>)
[2022-11-06 11:57:22.440385] Process 5. Episode 38250, average_reward -0.070092
Episode 38250: Total Loss of tensor([[9.0434]], grad_fn=<SubBackward0>)
[2022-11-06 11:57:32.162906] Process 3. Episode 37850, average_reward -0.071625
Episode 37850: Total Loss of tensor([[-2.6095]], grad_fn=<SubBackward0>)
[2022-11-06 11:57:46.585822] Process 0. Episode 37650, average_reward -0.069854
Episode 37650: Total Loss of tensor([[16.7856]], grad_fn=<SubBackward0>)
[2022-11-06 11:59:28.439377] Process 1. Episode 37050, average_reward -0.068826
Episode 37050: Total Loss of tensor([[-24.5797]], grad_fn=<SubBackward0>)
[2022-11-06 11:59:40.465701] Process 5. Episode 38300, average_reward -0.070026
Episode 38300: Total Loss of tensor([[3.7618]], grad_fn=<SubBackward0>)
[2022-11-06 11:59:41.398300] Process 3. Episode 37900, average_reward -0.071689
Episode 37900: Total Loss of tensor([[0.5378]], grad_fn=<SubBackward0>)
[2022-11-06 11:59:42.070114] Process 2. Episode 38600, average_reward -0.073731
